Customer ID,Customer_Segment,Churn_Probability,Target_Churned
AA-10315,Slipping / Defecting,0.8066666666666666,1
AA-10375,Champions,0.23333333333333334,0
AA-10480,Slipping / Defecting,0.8133333333333334,1
AA-10645,Mid-Market Mid-Tier,0.24666666666666667,0
AB-10015,Slipping / Defecting,0.8466666666666667,1
AB-10060,Mid-Market Mid-Tier,0.17333333333333334,0
AB-10105,Mid-Market Mid-Tier,0.16666666666666666,0
AB-10150,Mid-Market Mid-Tier,0.15333333333333332,0
AB-10165,Champions,0.14,0
AB-10255,Slipping / Defecting,0.35333333333333333,1
AB-10600,Mid-Market Mid-Tier,0.2866666666666667,0
AC-10420,Slipping / Defecting,0.96,1
AC-10450,Champions,0.20666666666666667,0
AC-10615,Mid-Market Mid-Tier,0.7066666666666667,0
AC-10660,Slipping / Defecting,0.8666666666666667,1
AD-10180,Champions,0.28,0
AF-10870,Mid-Market Mid-Tier,0.16,0
AF-10885,Slipping / Defecting,0.9466666666666667,1
AG-10270,Slipping / Defecting,0.8066666666666666,1
AG-10300,Mid-Market Mid-Tier,0.9,1
AG-10330,Mid-Market Mid-Tier,0.2,0
AG-10390,Mid-Market Mid-Tier,0.18,1
AG-10495,Mid-Market Mid-Tier,0.07333333333333333,0
AG-10525,Slipping / Defecting,0.8133333333333334,1
AG-10675,Mid-Market Mid-Tier,0.30666666666666664,1
AG-10765,Mid-Market Mid-Tier,0.3,0
AG-10900,Mid-Market Mid-Tier,0.25333333333333335,1
AH-10030,Champions,0.2733333333333333,0
AH-10075,Champions,0.06,0
AH-10120,Mid-Market Mid-Tier,0.02666666666666667,0
AH-10195,Mid-Market Mid-Tier,0.12666666666666668,0
AH-10210,Champions,0.23333333333333334,0
AH-10465,Slipping / Defecting,0.9066666666666666,1
AH-10585,Mid-Market Mid-Tier,0.3,0
AH-10690,Slipping / Defecting,0.7066666666666667,1
AI-10855,Champions,0.44666666666666666,0
AJ-10780,Mid-Market Mid-Tier,0.37333333333333335,0
AJ-10795,Slipping / Defecting,0.44,1
AJ-10945,Mid-Market Mid-Tier,0.19333333333333333,0
AJ-10960,Mid-Market Mid-Tier,0.20666666666666667,0
AM-10360,Mid-Market Mid-Tier,0.29333333333333333,0
AM-10705,Slipping / Defecting,0.7733333333333333,1
AO-10810,Slipping / Defecting,0.8466666666666667,1
AP-10720,Mid-Market Mid-Tier,0.07333333333333333,0
AP-10915,Mid-Market Mid-Tier,0.7133333333333334,1
AR-10345,Mid-Market Mid-Tier,0.86,1
AR-10405,Mid-Market Mid-Tier,0.9133333333333333,1
AR-10510,Mid-Market Mid-Tier,0.1,0
AR-10540,Champions,0.24666666666666667,0
AR-10570,Slipping / Defecting,0.9466666666666667,1
AR-10825,Mid-Market Mid-Tier,0.08666666666666667,0
AS-10045,Mid-Market Mid-Tier,0.04,0
AS-10090,Champions,0.006666666666666667,0
AS-10135,Mid-Market Mid-Tier,0.14666666666666667,0
AS-10225,Mid-Market Mid-Tier,0.09333333333333334,0
AS-10240,Slipping / Defecting,0.6533333333333333,1
AS-10285,Champions,0.08,0
AS-10630,Mid-Market Mid-Tier,0.84,1
AT-10435,Champions,0.5866666666666667,0
AT-10735,Champions,0.05333333333333334,0
AW-10840,Mid-Market Mid-Tier,0.2866666666666667,0
AW-10930,Mid-Market Mid-Tier,0.10666666666666667,0
AY-10555,Mid-Market Mid-Tier,0.25333333333333335,0
AZ-10750,Slipping / Defecting,0.8533333333333334,1
BB-10990,Mid-Market Mid-Tier,0.86,1
BB-11545,Champions,0.25333333333333335,0
BC-11125,Slipping / Defecting,0.82,1
BD-11320,Champions,0.26666666666666666,0
BD-11500,Champions,0.23333333333333334,0
BD-11560,Slipping / Defecting,0.88,1
BD-11605,Mid-Market Mid-Tier,0.68,1
BD-11620,Mid-Market Mid-Tier,0.25333333333333335,0
BD-11635,Mid-Market Mid-Tier,0.44,0
BD-11725,Mid-Market Mid-Tier,0.8133333333333334,1
BD-11770,Slipping / Defecting,0.78,1
BE-11335,Mid-Market Mid-Tier,0.8333333333333334,1
BE-11410,Mid-Market Mid-Tier,0.7733333333333333,1
BE-11455,Slipping / Defecting,0.92,1
BF-10975,Mid-Market Mid-Tier,0.3333333333333333,1
BF-11005,Mid-Market Mid-Tier,0.30666666666666664,0
BF-11020,Mid-Market Mid-Tier,0.1,0
BF-11080,Mid-Market Mid-Tier,0.18666666666666668,0
BF-11170,Champions,0.18,0
BF-11215,Mid-Market Mid-Tier,0.5133333333333333,0
BF-11275,Mid-Market Mid-Tier,0.7066666666666667,0
BG-11035,Champions,0.23333333333333334,0
BG-11695,Champions,0.2,0
BG-11740,Mid-Market Mid-Tier,0.7066666666666667,0
BH-11710,Champions,0.35333333333333333,0
BK-11260,Mid-Market Mid-Tier,0.5133333333333333,0
BM-11140,Slipping / Defecting,0.37333333333333335,1
BM-11575,Mid-Market Mid-Tier,0.6466666666666666,1
BM-11650,Champions,0.09333333333333334,0
BM-11785,Slipping / Defecting,0.7933333333333333,1
BN-11470,Mid-Market Mid-Tier,0.2733333333333333,0
BN-11515,Mid-Market Mid-Tier,0.17333333333333334,0
BO-11350,Mid-Market Mid-Tier,0.6533333333333333,1
BO-11425,Mid-Market Mid-Tier,0.72,0
BP-11050,Mid-Market Mid-Tier,0.23333333333333334,0
BP-11095,Champions,0.02,0
BP-11155,Mid-Market Mid-Tier,0.26666666666666666,0
BP-11185,Champions,0.14,0
BP-11230,Mid-Market Mid-Tier,0.21333333333333335,0
BP-11290,Champions,0.18666666666666668,0
BS-11365,Slipping / Defecting,0.86,1
BS-11380,Mid-Market Mid-Tier,0.24666666666666667,0
BS-11590,Champions,0.17333333333333334,0
BS-11665,Slipping / Defecting,0.8066666666666666,1
BS-11755,Champions,0.04666666666666667,0
BS-11800,Slipping / Defecting,0.9,1
BT-11305,Slipping / Defecting,0.66,1
BT-11395,Slipping / Defecting,0.46,1
BT-11440,Slipping / Defecting,0.9133333333333333,1
BT-11485,Slipping / Defecting,0.8133333333333334,1
BT-11530,Mid-Market Mid-Tier,0.6466666666666666,1
BT-11680,Champions,0.13333333333333333,0
BV-11245,Slipping / Defecting,0.8,1
BW-11065,Slipping / Defecting,0.8866666666666667,1
BW-11110,Mid-Market Mid-Tier,0.76,1
BW-11200,Slipping / Defecting,0.8866666666666667,1
CA-11965,Mid-Market Mid-Tier,0.8066666666666666,1
CA-12055,Slipping / Defecting,0.8666666666666667,1
CA-12265,Mid-Market Mid-Tier,0.08,0
CA-12310,Mid-Market Mid-Tier,0.16666666666666666,0
CA-12775,Mid-Market Mid-Tier,0.6533333333333333,1
CB-12025,Mid-Market Mid-Tier,0.24,0
CB-12415,Champions,0.10666666666666667,0
CB-12535,Slipping / Defecting,0.8466666666666667,1
CC-12100,Slipping / Defecting,0.8466666666666667,1
CC-12145,Mid-Market Mid-Tier,0.7533333333333333,1
CC-12220,Champions,0.08,0
CC-12370,Mid-Market Mid-Tier,0.15333333333333332,0
CC-12430,Champions,0.12666666666666668,0
CC-12475,Mid-Market Mid-Tier,0.25333333333333335,0
CC-12550,Mid-Market Mid-Tier,0.19333333333333333,0
CC-12610,Champions,0.13333333333333333,0
CC-12670,Champions,0.18,0
CC-12685,Slipping / Defecting,0.8866666666666667,1
CD-11920,Mid-Market Mid-Tier,0.6,0
CD-11980,Mid-Market Mid-Tier,0.35333333333333333,0
CD-12280,Mid-Market Mid-Tier,0.16,0
CD-12790,Slipping / Defecting,0.76,1
CG-12040,Mid-Market Mid-Tier,0.29333333333333333,0
CG-12520,Slipping / Defecting,0.8333333333333334,1
CH-12070,Slipping / Defecting,0.8866666666666667,1
CJ-11875,Slipping / Defecting,0.8,1
CJ-12010,Slipping / Defecting,0.8133333333333334,1
CK-12205,Mid-Market Mid-Tier,0.13333333333333333,0
CK-12325,Mid-Market Mid-Tier,0.9466666666666667,1
CK-12595,Mid-Market Mid-Tier,0.12,0
CK-12760,Mid-Market Mid-Tier,0.11333333333333333,0
CL-11890,Mid-Market Mid-Tier,0.5466666666666666,1
CL-12565,Slipping / Defecting,0.8133333333333334,1
CL-12700,Mid-Market Mid-Tier,0.72,1
CM-11815,Mid-Market Mid-Tier,0.78,1
CM-11935,Slipping / Defecting,0.7266666666666667,1
CM-12115,Mid-Market Mid-Tier,0.4533333333333333,0
CM-12160,Champions,0.6133333333333333,0
CM-12190,Champions,0.29333333333333333,0
CM-12235,Slipping / Defecting,0.92,1
CM-12385,Mid-Market Mid-Tier,0.12666666666666668,0
CM-12445,Slipping / Defecting,0.7933333333333333,1
CM-12655,Champions,0.6133333333333333,0
CM-12715,Slipping / Defecting,0.7933333333333333,1
CP-12085,Mid-Market Mid-Tier,0.13333333333333333,0
CP-12340,Slipping / Defecting,0.7533333333333333,1
CR-12580,Mid-Market Mid-Tier,0.26666666666666666,0
CR-12625,Slipping / Defecting,0.9066666666666666,1
CR-12730,Mid-Market Mid-Tier,0.22,0
CR-12820,Mid-Market Mid-Tier,0.23333333333333334,0
CS-11845,Mid-Market Mid-Tier,0.5466666666666666,1
CS-11860,Slipping / Defecting,0.76,1
CS-11950,Champions,0.03333333333333333,0
CS-12130,Slipping / Defecting,0.84,1
CS-12175,Slipping / Defecting,0.8533333333333334,1
CS-12250,Champions,0.1,0
CS-12355,Champions,0.16666666666666666,0
CS-12400,Champions,0.22666666666666666,0
CS-12460,Mid-Market Mid-Tier,0.2866666666666667,0
CS-12490,Slipping / Defecting,0.9333333333333333,1
CS-12505,Mid-Market Mid-Tier,0.15333333333333332,0
CT-11995,Mid-Market Mid-Tier,0.8133333333333334,1
CV-12295,Slipping / Defecting,0.8333333333333334,1
